Ticker,monthRet,annRet,qRet,monthRetMkt,qRetMkt,annRetMkt,regime
AMZN,0.16005650086393675,-0.11184358213202472,-0.21007229283801276,0.07900586237182416,-0.07585570719224433,0.07618754473565947,0
MSFT,0.029358748318551564,0.2513981801814962,-0.12259385698549308,0.04918321881572374,-0.06537331682935421,0.09722705608168969,1
GOOG,0.0010794431395633186,0.30281303356253364,-0.06892994954543563,0.04918321881572374,-0.06537331682935421,0.09722705608168969,1
FB,0.12005038705820992,-0.25066060938616586,-0.3604820044715983,0.04918321881572374,-0.06537331682935421,0.09722705608168969,1
AAPL,0.0438171776431,0.36621515046270603,-0.0036785358611400865,0.04918321881572374,-0.06537331682935421,0.09722705608168969,1
AMZN,0.10900054766822498,-0.08897709664621445,-0.1896163915060104,0.04918321881572374,-0.06537331682935421,0.09722705608168969,1
MSFT,-0.001155362087179257,0.21417054458534146,-0.1140197464264594,0.035921832723734504,-0.061455204872021274,0.0812775552496332,0
GOOG,-0.021747585633310695,0.2548126150441179,-0.06903207771377617,0.035921832723734504,-0.061455204872021274,0.0812775552496332,0
FB,0.10885712447696183,-0.28724257618808846,-0.3638052110426213,0.035921832723734504,-0.061455204872021274,0.0812775552496332,0
AAPL,0.045609301238124456,0.30749581260408543,-0.019266115150400887,0.035921832723734504,-0.061455204872021274,0.0812775552496332,0
